FE-DELTA  HipT+   1.0000000000E+00
FE-DELTA  HipT-   3.0000000000E-01
FE-DELTA  HipTfx  1.2072700000E+03
FE-DELTA  IMC     1.10000000000000E+0001
FE-DELTA  LatErg  6.00000000000000E-0002
FE-DELTA  LatSrs  8.00000000000000E-0003
FE-DELTA  n-plc   6.90000000000000E+0000
FE-DELTA  ObsErg  5.00000000000000E-0001
FE-DELTA  ObsSrs  1.70000000000000E-0003
FE-DELTA  Omega   1.18000000000000E-0029
FE-DELTA  Phnon   6.00000000000000E-0010
FE-DELTA  PhsCh   1.81000000000000E+0003
FE-DELTA  plcErg  2.84000000000000E+0002
FE-DELTA  ShrMod  4.20000000000000E+0001
FE-DELTA  Srsplc  6.00000000000000E+0001
FE-DELTA  SurD0   2.5000000000E-09
FE-DELTA  SurErg  2.3200000000E+02
FE-DELTA  T-dep   7.10000000000000E-0001
FE-DELTA  T-melt  1.81000000000000E+0003
FE-DELTA  VolD0   1.90000000000000E-0004
FE-DELTA  VolErg  2.39000000000000E+0002
FE-DELTA  YldSrs  1.5000000000E+02
FE-DELTA  YldTdp  8.1000000000E-01
FE-DELTA  YngMod  1.9600000000E+02
GERMANIUM BdyD0   1.0000000000E-17
GERMANIUM BdyErg  1.7200000000E+02
GERMANIUM Burgr   3.9900000000E-10
GERMANIUM CorD0   1.0000000000E-27
GERMANIUM CorErg  1.7200000000E+02
GERMANIUM DfmSy+  1.0000000000E+00
GERMANIUM IMC     4.1000000000E+01
GERMANIUM LatErg  2.0000000000E-01
GERMANIUM LatSrs  6.0000000000E-02
GERMANIUM n-plc   5.0000000000E+00
GERMANIUM ObsErg  5.0000000000E-01
GERMANIUM ObsSrs  7.0000000000E-03
GERMANIUM Omega   2.2600000000E-29
GERMANIUM plcErg  2.8700000000E+02
GERMANIUM ShrMod  5.2000000000E+01
GERMANIUM Srsplc  1.8200000000E+02
GERMANIUM T-dep   1.4100000000E-01
GERMANIUM T-melt  1.2110000000E+03
GERMANIUM VolD0   7.8000000000E-04
GERMANIUM VolErg  2.8700000000E+02
INSB      BdyD0   1.34000000000000E-014
INSB      BdyErg  1.12000000000000E+002
INSB      BrkDn   1.00000000000000E-001
INSB      Burgr   4.58100000000000E-010
INSB      CorD0   1.00000000000000E-025
INSB      CorErg  1.12000000000000E+002
INSB      DffCt   3.00000000000000E-001
INSB      DfmCn1  1.00000000000000E-012
INSB      DfmCnN  1.70000000000000E+001
INSB      DfmGsz  1.00000000000000E+01
INSB      DfmStN  2.50000000000000E+001
INSB      DfmSy+  1.00000000000000E-001
INSB      Eltrn   2.00000000000000E-008
INSB      IMC     4.20000000000000E+001
INSB      LatErg  2.00000000000000E-001
INSB      LatSrs  2.70000000000000E-002
INSB      n-plc   3.50000000000000E+000
INSB      ObsErg  5.00000000000000E-001
INSB      ObsSrs  1.00000000000000E-003
INSB      Omega   6.79600000000000E-029
INSB      Phnon   6.00000000000000E-010
INSB      PhsCh   3.00000000000000E+003
INSB      PhsCh   8.09000000000000E+002
INSB      PhsCh   3.00000000000000E+003
INSB      PhsCh   3.00000000000000E+003
INSB      PhsCh   8.09000000000000E+002
INSB      plcErg  1.08000000000000E+002
INSB      ShrMod  2.30000000000000E+001
INSB      Srsplc  2.97000000000000E+001
INSB      T-dep   2.28000000000000E-001
INSB      T-melt  8.09000000000000E+002
INSB      VolD0   5.00000000000000E-006
INSB      VolErg  1.86000000000000E+002
LEAD      BdyD0   8.1000000000E-14
LEAD      BdyErg  6.5700000000E+01
LEAD      Burgr   2.9199623991E-10
LEAD      CorD0   1.0000000000E-23
LEAD      CorErg  6.5700000000E+01
LEAD      Densty  1.1400000000E+04
LEAD      DfmCn*  1.0000000000E+02
LEAD      DfmCn1  1.0000000000E-14
LEAD      DfmCnN  1.0000000000E+01
LEAD      DfmGsz  2.0000000000E+01
LEAD      DfmStN  4.0000000000E+01
LEAD      DfmSy+  1.0000000000E-02
LEAD      DfmSy-  1.0000000000E-06
LEAD      DfmT+   1.0000000000E+00
LEAD      DfmT-   0.0000000000E+00
LEAD      EnrgSr  6.1000000000E-01
LEAD      HipCn*  2.0000000000E+00
LEAD      HipCn1  9.0000000000E+02
LEAD      HipCnN  7.0000000000E+00
LEAD      HipDn+  1.0000000000E+00
LEAD      HipDn-  6.0000000000E-01
LEAD      HipGsz  2.0000000000E-05
LEAD      HipPfx  4.0000000000E+00
LEAD      HipPlt  1.0000000000E+00
LEAD      HipPP0  1.0000000000E-01
LEAD      HipPrd  1.0000000000E-05
LEAD      HipRD0  6.2000000000E-01
LEAD      HipStN  4.0000000000E+01
LEAD      HipSy+  1.0000000000E+01
LEAD      HipSy-  1.0000000000E-03
LEAD      HipT+   1.0000000000E+00
LEAD      HipT-   3.0000000000E-01
LEAD      HipTfx  4.0086700000E+02
LEAD      IMC     1.1000000000E+01
LEAD      LatErg  6.0000000000E-02
LEAD      LatSrs  6.0000000000E-03
LEAD      n-plc   5.0000000000E+00
LEAD      ObsErg  5.0000000000E-01
LEAD      ObsSrs  1.3000000000E-03
LEAD      Omega   3.0300000000E-29
LEAD      plcErg  9.6000000000E+01
LEAD      ShrMod  8.1479251248E+00
LEAD      Srsplc  9.0000000000E+00
LEAD      SurD0   2.6000000000E-11
LEAD      SurErg  7.5000000000E+01
LEAD      T-dep   5.5097708082E-01
LEAD      T-melt  6.0100000000E+02
LEAD      VolD0   1.3700000000E-04
LEAD      VolErg  1.0900000000E+02
LEAD      YldSrs  1.8500000000E+01
LEAD      YldTdp  2.9000000000E-01
LEAD      YngMod  1.7900000000E+01
MAGNESIA  BdyD0   1.3600000000E-15
MAGNESIA  BdyErg  2.3000000000E+02
MAGNESIA  Burgr   2.4864522228E-10
MAGNESIA  CorD0   1.0000000000E-23
MAGNESIA  CorErg  2.3000000000E+02
MAGNESIA  Densty  3.4800000000E+03
MAGNESIA  DfmCn*  1.0000000000E+02
MAGNESIA  DfmCn1  1.0000000000E-14
MAGNESIA  DfmCnN  1.0000000000E+01
MAGNESIA  DfmGsz  2.0000000000E+01
MAGNESIA  DfmStN  4.0000000000E+01
MAGNESIA  DfmSy+  1.0000000000E-02
MAGNESIA  DfmSy-  1.0000000000E-06
MAGNESIA  DfmT+   1.0000000000E+00
MAGNESIA  DfmT-   0.0000000000E+00
MAGNESIA  EnrgSr  5.0000000000E-01
MAGNESIA  HipCn*  2.0000000000E+00
MAGNESIA  HipCn1  9.0000000000E+02
MAGNESIA  HipCnN  7.0000000000E+00
MAGNESIA  HipDn+  1.0000000000E+00
MAGNESIA  HipDn-  6.0000000000E-01
MAGNESIA  HipGsz  2.0000000000E-05
MAGNESIA  HipPfx  1.0000000000E+02
MAGNESIA  HipPlt  1.0000000000E+00
MAGNESIA  HipPP0  1.0000000000E-01
MAGNESIA  HipPrd  1.0000000000E-05
MAGNESIA  HipRD0  6.2000000000E-01
MAGNESIA  HipStN  4.0000000000E+01
MAGNESIA  HipSy+  1.0000000000E+01
MAGNESIA  HipSy-  1.0000000000E-03
MAGNESIA  HipT+   1.0000000000E+00
MAGNESIA  HipT-   3.0000000000E-01
MAGNESIA  HipTfx  2.0843750000E+03
MAGNESIA  IMC     3.1000000000E+01
MAGNESIA  LatErg  6.0000000000E-02
MAGNESIA  LatSrs  6.0000000000E-03
MAGNESIA  n-plc   3.3000000000E+00
MAGNESIA  ObsErg  5.0000000000E-01
MAGNESIA  ObsSrs  1.3000000000E-03
MAGNESIA  Omega   1.8700000000E-29
MAGNESIA  plcErg  4.6000000000E+02
MAGNESIA  ShrMod  1.0651734720E+02
MAGNESIA  Srsplc  9.0000000000E+01
MAGNESIA  SurD0   1.0000000000E-10
MAGNESIA  SurErg  4.6000000000E+02
MAGNESIA  T-dep   6.3832982878E-01
MAGNESIA  T-melt  3.1250000000E+03
MAGNESIA  VolD0   1.3700000000E-06
MAGNESIA  VolErg  4.6000000000E+02
MAGNESIA  YldSrs  6.0600000000E+02
MAGNESIA  YldTdp  5.0000000000E-01
MAGNESIA  YngMod  3.0300000000E+02
MAR-M200  BdyD0   2.8000000000E-15
MAR-M200  BdyErg  1.1500000000E+02
MAR-M200  Burgr   2.0837260821E-10
MAR-M200  CorD0   1.0000000000E-23
MAR-M200  CorErg  1.1500000000E+02
MAR-M200  Densty  8.9000000000E+03
MAR-M200  DfmCn*  1.0000000000E+02
MAR-M200  DfmCn1  1.0000000000E-14
MAR-M200  DfmCnN  1.0000000000E+01
MAR-M200  DfmGsz  2.0000000000E+01
MAR-M200  DfmStN  4.0000000000E+01
MAR-M200  DfmSy+  1.0000000000E-02
MAR-M200  DfmSy-  1.0000000000E-06
MAR-M200  DfmT+   1.0000000000E+00
MAR-M200  DfmT-   0.0000000000E+00
MAR-M200  EnrgSr  1.7000000000E+00
MAR-M200  HipCn*  2.0000000000E+00
MAR-M200  HipCn1  9.0000000000E+02
MAR-M200  HipCnN  7.0000000000E+00
MAR-M200  HipDn+  1.0000000000E+00
MAR-M200  HipDn-  6.0000000000E-01
MAR-M200  HipGsz  2.0000000000E-05
MAR-M200  HipPfx  1.0000000000E+02
MAR-M200  HipPlt  1.0000000000E+00
MAR-M200  HipPP0  1.0000000000E-01
MAR-M200  HipPrd  1.0000000000E-05
MAR-M200  HipRD0  6.2000000000E-01
MAR-M200  HipStN  4.0000000000E+01
MAR-M200  HipSy+  1.0000000000E+01
MAR-M200  HipSy-  1.0000000000E-03
MAR-M200  HipT+   1.0000000000E+00
MAR-M200  HipT-   3.0000000000E-01
MAR-M200  HipTfx  1.0672000000E+03
MAR-M200  IMC     1.4000000000E+01
MAR-M200  LatErg  6.0000000000E-02
MAR-M200  LatSrs  6.0000000000E-03
MAR-M200  n-plc   7.7000000000E+00
MAR-M200  ObsErg  5.0000000000E-01
MAR-M200  ObsSrs  1.3000000000E-03
MAR-M200  Omega   1.1000000000E-29
MAR-M200  plcErg  5.5600000000E+02
MAR-M200  ShrMod  7.6879687500E+01
MAR-M200  Srsplc  4.0000000000E+03
MAR-M200  SurD0   1.0000000000E-10
MAR-M200  SurErg  2.8500000000E+02
MAR-M200  T-dep   4.5714285714E-01
MAR-M200  T-melt  1.6000000000E+03
MAR-M200  VolD0   1.6000000000E-04
MAR-M200  VolErg  2.8500000000E+02
MAR-M200  YldSrs  1.1000000000E+03
MAR-M200  YldTdp  5.0000000000E-01
MAR-M200  YngMod  2.1300000000E+02
MO-TEST   BdyD0   5.5000000000E-14
MO-TEST   BdyErg  2.6300000000E+02
MO-TEST   Burgr   2.7300000000E-10
MO-TEST   CorD0   1.0000000000E-26
MO-TEST   CorErg  2.6300000000E+02
MO-TEST   DfmCn*  1.0000000000E+02
MO-TEST   DfmCn1  1.0000000000E-18
MO-TEST   DfmCnN  1.2000000000E+01
MO-TEST   DfmGsz  1.0000000000E+02
MO-TEST   DfmStN  3.0000000000E+01
MO-TEST   DfmSy+  1.0000000000E-02
MO-TEST   DfmSy-  1.0000000000E-06
MO-TEST   DfmT+   1.0000000000E+00
MO-TEST   DfmT-   0.0000000000E+00
MO-TEST   IMC     1.4000000000E+01
MO-TEST   LatErg  5.7000000000E-02
MO-TEST   LatSrs  6.6000000000E-03
MO-TEST   n-plc   4.8500000000E+00
MO-TEST   ObsErg  5.0000000000E-01
MO-TEST   ObsSrs  1.0000000000E-03
MO-TEST   Omega   1.5300000000E-29
MO-TEST   plcErg  4.0500000000E+02
MO-TEST   ShrMod  1.1297057232E+02
MO-TEST   Srsplc  5.2000000000E+01
MO-TEST   T-dep   4.0241276171E-01
MO-TEST   T-melt  2.8830000000E+03
MO-TEST   VolD0   5.0000000000E-05
MO-TEST   VolErg  4.0500000000E+02
MOLYBDM   BdyD0   5.5000000000E-14
MOLYBDM   BdyErg  2.6300000000E+02
MOLYBDM   Burgr   2.3257290104E-10
MOLYBDM   CorD0   1.0000000000E-23
MOLYBDM   CorErg  2.6300000000E+02
MOLYBDM   Densty  1.0220000000E+04
MOLYBDM   DfmCn*  1.0000000000E+02
MOLYBDM   DfmCn1  1.0000000000E-14
MOLYBDM   DfmCnN  1.0000000000E+01
MOLYBDM   DfmGsz  2.0000000000E+02
MOLYBDM   DfmStN  4.0000000000E+01
MOLYBDM   DfmSy+  1.0000000000E-02
MOLYBDM   DfmSy-  1.0000000000E-06
MOLYBDM   DfmT+   1.0000000000E+00
MOLYBDM   DfmT-   0.0000000000E+00
MOLYBDM   EnrgSr  2.0000000000E+00
MOLYBDM   HipCn*  2.0000000000E+00
MOLYBDM   HipCn1  9.0000000000E+02
MOLYBDM   HipCnN  7.0000000000E+00
MOLYBDM   HipDn+  1.0000000000E+00
MOLYBDM   HipDn-  6.0000000000E-01
MOLYBDM   HipGsz  2.0000000000E-05
MOLYBDM   HipPfx  7.5000000000E+01
MOLYBDM   HipPlt  1.0000000000E+00
MOLYBDM   HipPP0  1.0000000000E-01
MOLYBDM   HipPrd  1.0000000000E-05
MOLYBDM   HipRD0  6.2000000000E-01
MOLYBDM   HipStN  4.0000000000E+01
MOLYBDM   HipSy+  1.0000000000E+01
MOLYBDM   HipSy-  1.0000000000E-03
MOLYBDM   HipT+   1.0000000000E+00
MOLYBDM   HipT-   3.0000000000E-01
MOLYBDM   HipTfx  1.9229610000E+03
MOLYBDM   IMC     1.4000000000E+01
MOLYBDM   LatErg  6.0000000000E-02
MOLYBDM   LatSrs  6.0000000000E-03
MOLYBDM   n-plc   4.8500000000E+00
MOLYBDM   ObsErg  5.0000000000E-01
MOLYBDM   ObsSrs  1.3000000000E-03
MOLYBDM   Omega   1.5300000000E-29
MOLYBDM   plcErg  4.0500000000E+02
MOLYBDM   ShrMod  1.1297057232E+02
MOLYBDM   Srsplc  5.2000000000E+01
MOLYBDM   SurD0   1.0000000000E-10
